Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
43	-112.723	554.4554	506.84308	-667.931	4.5	-48.31031	0.003401667	-48.297466	-48.313442	1320	-3.973643e-09	247913.06	-0.027946582	-400.82812	0.68703455	-0.0040625683	0.06666667	79.0	24552.19602203369
44	-452.81656	408.05484	363.13116	-666.97705	5.8	-49.362984	0.0038289009	-49.34976	-49.365967	1350	-3.973643e-09	266940.12	-0.01417528	-1212.75	0.6474249	0.016278537	0.1	10.0	25071.40543460846
45	-8.008641	537.6341	516.2948	-674.94904	4.142857	-51.047043	0.004562505	-51.035023	-51.050617	1380	-3.576279e-08	251805.45	-0.03688087	-232.14062	0.6444332	0.022321833	0.0	7.0	25629.51740527153
46	225.53648	481.28897	508.70093	-673.59375	2.8888888	-51.865284	0.0058374587	-51.84378	-51.87008	1410	8.692344e-09	247345.77	-0.014071205	-17.65625	0.6426926	0.0163594	0.16666667	28.0	26274.22354078293
47	148.04268	508.5576	512.58887	-666.183	3.7142856	-51.894093	0.027770111	-51.763695	-51.908882	1440	2.2351742e-08	236751.52	-0.02093125	-1811.7344	0.63879865	0.015776781	0.0	6.0	26834.90880036354
48	-89.81857	537.1256	506.8108	-677.00226	4.5	-50.34092	3.914614	-34.732994	-51.886818	1470	2.0861625e-08	236780.95	-0.024815062	-4695.3125	0.63835984	0.010098774	0.2	79.0	27394.699810028076
49	-274.36047	531.40265	504.42093	-686.70984	4.8333335	-46.47341	20.872564	47.20555	-52.942833	1500	6.755193e-08	272663.97	-0.0128511265	-2893.8125	0.6267807	-0.022133375	0.1	79.0	27967.676358938217
50	-259.72168	536.4353	501.54144	-669.764	4.5	-32.286488	39.335304	49.050438	-54.935562	1530	-3.576279e-08	270730.66	-0.030366965	-11800.203	0.6015509	0.015061116	0.53333336	19.0	28507.07037639618
51	132.25388	509.74417	526.29614	-682.1935	3.7142856	-47.707985	26.749138	47.64587	-56.716206	1560	-3.1292437e-08	222819.97	-0.069576725	-15123.859	0.5988274	-0.021240722	0.33333334	79.0	29087.04723763466
52	177.67096	494.82953	481.31522	-686.87994	3.75	-48.25047	27.376717	51.46704	-57.599583	1590	-7.947286e-09	286257.03	-0.0033209643	-2533.8438	0.5619743	0.015139569	0.1	16.0	29688.0218398571
53	-239.6488	535.4844	430.68375	-695.67896	5.2	-41.193626	36.95806	51.694378	-57.795544	1620	5.9604645e-08	234981.94	-0.009512391	-5553.297	0.5579636	0.01504606	0.033333335	42.0	30251.187150001526
54	45.00068	552.7983	514.0278	-685.058	3.75	7.0534687	50.580994	52.982464	-59.21363	1650	4.3710074e-08	310457.44	-0.018893916	-33579.688	0.54763484	-0.03178026	0.1	79.0	30865.110591173172
55	-443.56918	437.78088	430.55582	-686.22455	5.6	-58.03249	5.0042815	-37.850616	-59.531914	1680	3.7749608e-08	274004.56	-0.013479939	-2754.0625	0.5433875	0.016872086	0.2	16.0	31384.95562529564
56	178.82846	489.88965	510.46063	-673.05426	3.5	-57.51899	20.609343	53.465683	-61.34887	1710	3.1292437e-08	239545.73	-0.002536564	-8.078125	0.5413017	0.016009897	0.0	4.0	31981.186238527298
57	-460.8675	425.1226	388.83267	-688.9533	5.6	-60.558487	3.076343	-46.201183	-61.522552	1740	7.947286e-08	269106.9	-0.009951972	-2296.0625	0.54035205	0.015607306	0.033333335	26.0	32500.529935121536
58	-108.18514	573.02527	504.55228	-699.0332	4.3333335	-62.998043	0.7496379	-60.172497	-63.25436	1770	3.8743018e-08	252772.39	-0.029832216	-654.8281	0.5279723	0.015781034	0.2	12.0	33094.36982369423
59	-669.34784	29.924274	-616.0602	-708.0268	6.0	-63.23234	4.4878554	-40.784378	-64.387566	1800	-5.7816504e-07	303726.3	-0.051620863	-3841.875	0.52341276	0.016021352	0.3	35.0	33598.50033426285
60	67.872795	533.6253	484.66162	-702.89197	4.1666665	-66.87184	0.003794774	-66.85756	-66.87327	1830	-5.5134297e-08	231266.39	-0.024704471	-20.921875	0.51817507	-0.027660292	0.23333333	79.0	34140.39984178543
61	-220.61826	523.8255	462.21408	-668.9942	5.0	-67.271095	0.00257713	-67.25871	-67.27175	1860	3.973643e-09	222849.84	-0.012419527	-420.17188	0.5069093	0.01540998	0.0	12.0	34664.97619175911
62	62.68288	556.62244	506.83734	-684.1735	3.375	-68.03672	1.0907842	-62.16284	-68.24286	1890	-3.9239726e-08	265318.34	-0.010690675	-385.71875	0.50449556	0.017955719	0.0	7.0	35237.6495320797
63	-40.405254	564.4889	502.78018	-699.8841	4.285714	-68.771385	1.5575336	-60.383804	-69.060646	1920	1.9868216e-08	270387.47	-0.026441114	-3989.7812	0.50226593	0.017578818	0.0	4.0	35813.71451878548
64	47.35276	560.5406	514.7996	-683.1461	3.625	-69.848625	0.04094547	-69.62816	-69.85645	1950	2.483527e-09	284330.56	-0.027083313	-168.9375	0.5007811	0.017770836	0.06666667	21.0	36420.880424022675
65	255.13313	460.79803	517.7176	-665.7467	2.8	-60.45537	33.4083	62.898727	-70.54201	1980	-6.208817e-08	258831.61	-0.033297773	-5917.047	0.495662	0.016092505	0.16666667	7.0	37049.57334566116
66	39.337082	552.1366	505.9023	-680.74615	3.75	-53.085957	40.32309	63.17474	-70.79244	2010	3.576279e-08	268158.7	-0.03573516	-684.78125	0.49477765	-0.017471444	0.13333334	79.0	37608.56842088699
