Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
54	250.55008	445.03934	521.6574	-646.04456	3.0	-58.060562	0.00029642758	-58.059765	-58.061016	1650	-4.5696893e-08	260106.77	-0.0150492415	-51.5625	0.55475116	-0.015279791	0.0	79.0	34075.51542878151
55	-229.77051	534.2117	524.34357	-673.1439	5.0	-57.74253	0.00023767227	-57.741943	-57.74292	1680	-3.1789146e-08	231351.45	-0.02370431	-574.3125	0.52421975	0.0013253132	0.033333335	79.0	34653.31883764267
56	-26.83884	546.72986	510.1051	-662.61816	4.285714	-58.92188	0.00021819491	-58.921486	-58.922348	1710	-2.3841858e-08	262347.34	-0.013865336	-235.3125	0.54131436	0.017554123	0.0	6.0	35280.85453224182
57	-11.759696	573.67993	535.26855	-695.4451	4.0	-59.779453	0.00020182476	-59.77905	-59.779858	1740	-3.327926e-08	271461.62	-0.05231049	-274.6875	0.5422838	-0.00040123065	0.26666668	79.0	35925.3734061718
58	-100.745605	514.0056	514.8699	-641.99445	4.6666665	-60.674473	0.00018909256	-60.674046	-60.6748	1770	-7.152558e-08	228843.22	-0.042282924	-325.48438	0.5358904	0.016926024	0.06666667	4.0	36536.60960125923
59	-431.61533	456.3164	479.73758	-693.0583	5.2	-61.660873	0.00018297163	-61.660553	-61.661194	1800	-3.973643e-09	253535.86	-0.00082492037	-1724.7969	0.5353925	0.015054663	0.0	3.0	37131.71021080017
60	290.71835	383.86584	549.11346	-635.06714	3.5714285	-63.827778	0.00017076328	-63.827328	-63.828064	1830	8.145968e-08	209210.47	-0.03560549	-223.625	0.53483886	0.0036370456	0.26666668	79.0	37744.28402519226
61	221.3734	483.70523	533.5531	-689.12805	3.3333333	-63.18907	0.00023159642	-63.18871	-63.18951	1860	3.3775965e-08	268502.06	-0.025439482	-79.34375	0.52354455	-0.0124175055	0.1	79.0	38405.34249973297
62	254.49947	468.7617	519.1774	-684.02246	2.6	-62.675373	0.00016667506	-62.675087	-62.675682	1890	-1.6391278e-08	242843.36	-0.013690583	-3.4375	0.5199392	-0.0059514632	0.1	79.0	39098.2231733799
63	103.035416	545.2443	515.9849	-673.19714	3.3333333	-62.549763	0.00016279568	-62.549454	-62.550034	1920	2.3841858e-08	282395.6	-0.006263981	-133.9375	0.5129206	0.01797206	0.0	8.0	39725.859832048416
64	-161.27982	575.4581	522.34937	-681.67175	4.285714	-63.15698	0.00015669694	-63.156494	-63.157295	1950	1.09275184e-07	305483.5	-0.002919185	-1218.2188	0.5108405	0.017436545	0.0	6.0	40321.55689573288
65	122.22721	503.15903	512.08417	-685.56934	3.7142856	-65.027565	0.000116948104	-65.02727	-65.02788	1980	-4.4703484e-08	228606.83	-0.009114548	-7.765625	0.5084657	0.018105092	0.06666667	11.0	40949.31888842583
66	171.78387	486.03424	503.9827	-665.6411	3.625	-65.32185	0.00013561593	-65.321556	-65.32214	2010	1.6391278e-08	255467.05	-0.031541493	-38.59375	0.50533	0.01676425	0.13333334	10.0	41609.546895980835
67	-173.24144	583.76	547.12506	-704.4466	4.285714	-64.9937	0.00016289546	-64.99339	-64.993935	2040	1.0629495e-07	313109.78	-0.033611525	-1224.5938	0.5032699	-0.0010831148	0.13333334	79.0	42206.90290784836
68	250.2677	449.94366	511.7874	-673.5405	3.0	-66.83022	0.0001290774	-66.829994	-66.83046	2070	-5.9604646e-09	268230.56	-0.016757134	-37.4375	0.4830754	0.015902806	0.033333335	23.0	42867.03749489784
69	-290.15524	535.4526	473.53714	-735.7494	5.0	-66.59986	0.00027494767	-66.59863	-66.600174	2100	-2.2848447e-08	303246.38	-0.013937393	-1174.6562	0.4813693	0.015057766	0.0	7.0	43479.09074831009
70	111.06962	504.44852	512.0119	-707.86365	4.285714	-68.37182	0.00012578865	-68.37165	-68.37207	2130	4.7683717e-08	281043.72	-0.026568504	-12.65625	0.48029894	0.015383678	0.26666668	8.0	44075.406715631485
71	311.51007	389.64142	504.92383	-713.56775	3.125	-68.264175	0.00012312277	-68.26401	-68.26439	2160	1.013279e-07	220472.45	-0.026553918	-384.125	0.4785919	0.019448822	0.1	16.0	44703.78453373909
72	146.82791	492.40472	544.74835	-624.23114	3.7142856	-67.20198	0.00015613253	-67.20162	-67.202225	2190	-8.3943206e-08	210970.2	-0.017883658	-0.765625	0.4758406	-0.012975036	0.06666667	79.0	45316.598325014114
73	-24.176636	541.161	505.19485	-661.4866	4.142857	-67.05763	0.00014590572	-67.057335	-67.0579	2220	4.5696893e-08	254083.69	-0.024661636	-248.65625	0.45539755	0.015365155	0.1	7.0	45944.24792289734
74	54.77257	504.54794	511.6977	-664.6547	4.3333335	-67.91793	0.00013804075	-67.91762	-67.91817	2250	-4.1971603e-08	213316.5	-0.051751196	0.1875	0.4548702	-0.016215172	0.3	79.0	46541.0425798893
75	163.3212	504.6041	531.1928	-648.66345	3.5714285	-68.023026	0.00016048954	-68.02253	-68.02327	2280	-1.4901161e-09	225849.23	-0.045097727	-2.46875	0.47547823	-0.007416435	0.16666667	79.0	47154.04210591316
76	-113.77596	536.264	444.46338	-663.8175	4.8333335	-68.112076	0.000152842	-68.111595	-68.11236	2310	-4.967054e-09	255699.47	-0.028261589	-242.73438	0.4406814	0.014977557	0.16666667	79.0	47751.35807919502
77	58.786976	500.3273	535.2947	-670.00073	4.6666665	-69.01192	0.00018419893	-69.01122	-69.01225	2340	5.4637592e-08	229728.55	-0.035822235	-2.953125	0.42644912	-4.333655e-05	0.26666668	79.0	48348.58711218834
78	175.24176	486.32727	510.40802	-668.10205	3.375	-68.9525	0.00014886772	-68.95215	-68.95275	2370	2.9802323e-09	245503.75	-0.023854082	-11.046875	0.43208414	-0.024984818	0.1	79.0	48976.48364806175
79	-286.7718	532.1191	478.4425	-688.80536	5.0	-68.74401	0.00013700376	-68.7435	-68.74423	2400	-7.5499216e-08	275229.2	-0.017238716	-1454.5312	0.43387434	-0.044851456	0.06666667	79.0	49556.5053627491
80	-294.16776	522.5028	514.1918	-693.15375	5.0	-70.95327	0.0001223085	-70.95308	-70.95349	2430	-1.291434e-07	287009.56	-0.014893226	-1631.2812	0.41422078	0.016859917	0.0	9.0	50135.473947286606
81	146.36475	505.2567	494.46008	-684.437	3.5714285	-73.33706	7.259293e-05	-73.336914	-73.337234	2460	-1.09275184e-08	232651.61	-0.0069037657	-0.5625	0.41140714	0.018505057	0.0	9.0	50778.814095020294
82	275.87967	403.74048	481.43536	-711.0863	3.857143	-73.6022	8.5571744e-05	-73.60203	-73.60238	2490	-7.947286e-09	242379.94	-0.043255102	-719.0156	0.40895778	-0.027478695	0.33333334	79.0	51407.580097436905
83	-11.227653	556.6802	507.5958	-671.97345	4.0	-72.11546	9.195451e-05	-72.11533	-72.11563	2520	-6.357829e-08	257159.92	-0.013228123	-187.98438	0.41055593	0.016474463	0.0	6.0	52020.62462544441
84	-661.91925	10.989542	-652.1393	-682.73987	6.0	-72.790726	0.00010705647	-72.79047	-72.790886	2550	-6.546577e-07	302131.44	-0.02696112	-3295.4062	0.4109106	0.008996352	0.1	79.0	52585.06305718422
