Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
13	-279.56473	527.84644	500.86548	-679.47614	4.8333335	-19.085846	0.016582264	-19.047598	-19.107233	420	-4.5696893e-08	301901.8	-0.0072553717	-1395.6875	0.94510216	0.015097727	0.0	76.0	7691.546712875366
14	74.36981	516.1087	456.44778	-658.11743	4.3333335	-20.931065	0.012802812	-20.892143	-20.947533	450	1.1175871e-08	230498.22	-0.010332445	-23.875	0.94454944	0.016538983	0.0	10.0	8271.05331158638
15	-23.882355	557.51794	512.67975	-681.1583	4.285714	-21.304163	0.0075069396	-21.27862	-21.31503	480	-8.34465e-08	287609.44	-0.024233527	-289.25	0.9453412	-0.014316245	0.06666667	79.0	8808.001947879791
16	-240.39273	519.32904	453.97458	-676.7345	5.2	-22.16911	0.007508959	-22.148304	-22.179195	510	-2.2848447e-08	251184.78	-0.04167794	-669.8125	0.95693594	0.01583886	0.23333333	29.0	9324.695021152496
17	-292.50308	505.91904	506.65323	-671.2832	5.0	-23.525724	0.009805289	-23.510866	-23.540453	540	1.5099843e-07	299463.66	-0.03170892	-1492.0	0.94658035	-0.010595859	0.06666667	79.0	9870.057728767395
18	-660.5416	13.304763	-642.32104	-678.04	6.0	-25.51825	0.006017166	-25.5046	-25.526466	570	-1.5656153e-06	337726.72	-0.005904273	-3048.375	0.9228095	0.0161003	0.0	12.0	10394.173601150513
19	-84.77998	579.85706	506.0065	-671.24274	4.1666665	-28.191984	0.004749739	-28.182888	-28.198465	600	-3.4769375e-08	260994.8	-0.02729349	-638.0156	0.9200498	-0.059415355	0.16666667	79.0	10956.49602484703
20	-4.373753	534.2351	502.82666	-645.418	4.142857	-29.482344	0.0043235915	-29.473783	-29.488207	630	2.0861625e-08	264448.78	-0.018443447	-240.75	0.91533846	-0.007816201	0.06666667	79.0	11533.816029310226
21	71.18377	519.72205	516.5238	-666.9393	4.1666665	-30.257105	0.0038975247	-30.246798	-30.262453	660	-5.0415597e-08	216780.08	-0.01717071	-36.921875	0.88639075	0.016736854	0.0	17.0	12078.112233161926
22	-13.798113	553.05444	493.4383	-669.9894	4.142857	-30.584784	0.0041690595	-30.576097	-30.590174	690	-2.9802322e-08	279107.8	-0.012783373	-239.59375	0.88524306	0.016673783	0.0	5.0	12636.709604740143
23	-423.9991	410.08868	394.6071	-658.34485	5.8	-31.336975	0.0035296334	-31.330715	-31.341116	720	-4.7683717e-08	268082.34	-0.03416934	-1256.0938	0.8849634	0.01626829	0.33333334	18.0	13158.52255153656
24	-402.33636	458.3091	512.99005	-657.6223	5.0	-33.059387	0.003480237	-33.050594	-33.06339	750	4.3710074e-08	256561.78	-0.018309608	-1791.5781	0.8792838	0.00059684616	0.1	79.0	13698.736885786057
25	-275.34756	534.1257	496.51996	-661.57733	4.8333335	-35.110115	0.003406646	-35.100574	-35.1142	780	4.7683717e-08	296803.62	-0.03640683	-1216.75	0.84403235	-0.028127966	0.26666668	79.0	14241.781329631805
26	70.09719	515.42566	504.37268	-666.4524	4.3333335	-36.801735	0.0029137076	-36.79153	-36.805103	810	1.1051695e-08	222466.73	-0.046858225	-10.34375	0.8320771	0.017704971	0.033333335	10.0	14806.439568519592
